,Grupo,Pais,Pos,Name,Captain,Age,Caps,Goals,Club
52,Group A,Saudi Arabia,1GK,Abdullah Al-Mayouf,No,(1987-01-23)23 January 1987 (aged 31),10,0, Al-Hilal
53,Group A,Saudi Arabia,1GK,Yasser Al Mosailem,No,(1984-02-27)27 February 1984 (aged 34),32,0, Al-Ahli
54,Group A,Saudi Arabia,1GK,Mohammed Al-Owais,No,(1991-10-10)10 October 1991 (aged 26),6,0, Al-Ahli
55,Group A,Saudi Arabia,2DF,Mohammed Al-Breik,No,(1992-09-15)15 September 1992 (aged 25),10,1, Al-Hilal
56,Group A,Saudi Arabia,2DF,Ali Al Bulaihi,No,(1989-11-21)21 November 1989 (aged 28),3,0, Al-Hilal
57,Group A,Saudi Arabia,2DF,Mansoor Al-Harbi,No,(1987-10-19)19 October 1987 (aged 30),39,1, Al-Ahli
58,Group A,Saudi Arabia,2DF,Yasser Al-Shahrani,No,(1992-05-25)25 May 1992 (aged 26),36,0, Al-Hilal
59,Group A,Saudi Arabia,2DF,Motaz Hawsawi,No,(1992-02-17)17 February 1992 (aged 26),17,0, Al-Ahli
60,Group A,Saudi Arabia,2DF,Omar Hawsawi,No,(1985-09-27)27 September 1985 (aged 32),41,3, Al-Nassr
61,Group A,Saudi Arabia,2DF,Osama Hawsawi,Si,(1984-03-31)31 March 1984 (aged 34),134,7, Al-Hilal
62,Group A,Saudi Arabia,3MF,Salem Al-Dawsari,No,(1991-08-19)19 August 1991 (aged 26),32,4, Villarreal
63,Group A,Saudi Arabia,3MF,Salman Al-Faraj,No,(1989-08-01)1 August 1989 (aged 28),42,3, Al-Hilal
64,Group A,Saudi Arabia,3MF,Taisir Al-Jassim,No,(1984-07-25)25 July 1984 (aged 33),131,18, Al-Ahli
65,Group A,Saudi Arabia,3MF,Yahya Al-Shehri,No,(1990-06-26)26 June 1990 (aged 27),56,8, Al-Nassr
66,Group A,Saudi Arabia,3MF,Abdullah Al-Khaibari,No,(1996-08-16)16 August 1996 (aged 21),4,0, Al-Shabab
67,Group A,Saudi Arabia,3MF,Abdulmalek Al-Khaibri,No,(1986-03-13)13 March 1986 (aged 32),36,0, Al-Hilal
68,Group A,Saudi Arabia,3MF,Housain Al-Mogahwi,No,(1988-01-28)28 January 1988 (aged 30),17,1, Al-Ahli
69,Group A,Saudi Arabia,3MF,Hattan Bahebri,No,(1992-07-16)16 July 1992 (aged 25),4,0, Al-Shabab
70,Group A,Saudi Arabia,3MF,Mohamed Kanno,No,(1994-09-22)22 September 1994 (aged 23),6,1, Al-Hilal
71,Group A,Saudi Arabia,3MF,Abdullah Otayf,No,(1992-08-03)3 August 1992 (aged 25),15,1, Al-Hilal
72,Group A,Saudi Arabia,4FW,Fahad Al-Muwallad,No,(1994-09-14)14 September 1994 (aged 23),44,10, Levante
73,Group A,Saudi Arabia,4FW,Mohammad Al-Sahlawi,No,(1987-01-10)10 January 1987 (aged 31),39,28, Al-Nassr
74,Group A,Saudi Arabia,4FW,Muhannad Assiri,No,(1986-10-14)14 October 1986 (aged 31),18,4, Al-Ahli
75,Group A,Uruguay,1GK,Martín Campaña,No,(1989-05-29)29 May 1989 (aged 29),1,0, Independiente
76,Group A,Uruguay,1GK,Fernando Muslera,No,(1986-06-16)16 June 1986 (aged 31),96,0, Galatasaray
77,Group A,Uruguay,1GK,Martín Silva,No,(1983-03-23)23 March 1983 (aged 35),11,0, Vasco da Gama
78,Group A,Uruguay,2DF,Martín Cáceres,No,(1987-04-07)7 April 1987 (aged 31),75,4, Lazio
79,Group A,Uruguay,2DF,Sebastián Coates,No,(1990-10-07)7 October 1990 (aged 27),30,1, Sporting CP
80,Group A,Uruguay,2DF,José Giménez,No,(1995-01-20)20 January 1995 (aged 23),41,4, Atlético Madrid
81,Group A,Uruguay,2DF,Diego Godín,Si,(1986-02-16)16 February 1986 (aged 32),115,8, Atlético Madrid
82,Group A,Uruguay,2DF,Maxi Pereira,No,(1984-06-08)8 June 1984 (aged 34),124,3, Porto
83,Group A,Uruguay,2DF,Gastón Silva,No,(1994-03-05)5 March 1994 (aged 24),17,0, Independiente
84,Group A,Uruguay,2DF,Guillermo Varela,No,(1993-03-24)24 March 1993 (aged 25),3,0, Peñarol
85,Group A,Uruguay,3MF,Rodrigo Bentancur,No,(1997-06-05)5 June 1997 (aged 21),6,0, Juventus
86,Group A,Uruguay,3MF,Giorgian De Arrascaeta,No,(1994-05-01)1 May 1994 (aged 24),13,1, Cruzeiro
87,Group A,Uruguay,3MF,Diego Laxalt,No,(1993-02-07)7 February 1993 (aged 25),5,0, Genoa
88,Group A,Uruguay,3MF,Nahitan Nández,No,(1995-12-28)28 December 1995 (aged 22),11,0, Boca Juniors
